timestamp,test-class,test-method,time,description,result
2021-09-09 18:57:23.863,acme.testing.administrator.configuration.AdministratorConfigurationShowTest,show,6846,"[1] recordIndex=0, spam=sex;sexo;hard core;extremo;viagra;cialis;has ganado;you’ve won;million dollar;millón de dólares;, threshold=10.00",OK
2021-09-09 18:57:24.858,acme.testing.administrator.configuration.AdministratorConfigurationShowTest,showNegative,656,"[1] url=/administrator/configuration/show, query=id=9",OK
2021-09-09 18:57:42.689,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,createPositive,8100,"[1] recordIndex=0, spam=sex;sexo;hard core;extremo;viagra;cialis;has ganado;you’ve won;million dollar;millón de dólares;pruebas;nigeria;, threshold=30.00",OK
2021-09-09 18:57:48.948,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,createNegative,5966,"[1] recordIndex=0, spam=sex;sexo;hard core;extremo;viagra;cialis;has ganado;you’ve won;million dollar;millón de dólares;, threshold=110.00",OK
2021-09-09 18:58:02.419,acme.testing.manager.workPlan.ManagerWorkPlanUpdateTest,update,3881,"[1] recordIndex=0, title=Plan de trabajo 1, description=actualizar descripción de test, executionStart=2021/01/01 00:00, executionEnd=2021/06/20 00:00, isPublic=true",Expected value '2021/10/20 00:00' in attribute 3 of record 0, but found '2021/06/20 00:00'
2021-09-09 18:58:09.119,acme.testing.manager.workPlan.ManagerWorkPlanUpdateTest,updateNegative,6367,"[1] recordIndex=0, title=Plan de trabajo 1, description=descripción de prueba 1, executionStart=2021/06/20 00:00, executionEnd=2021/01/01 00:00, isPublic=true",OK
2021-09-09 18:58:22.77,acme.testing.manager.workPlan.ManagerWorkPlanDeleteTest,deletePositive,4042,"[1] recordIndex=0, title=Plan de trabajo 1, description=descripción de prueba 1, executionStart=2021/01/01 00:00, executionEnd=2021/06/20 00:00, isPublic=true, published=false",Expected value '2021/10/20 00:00' in attribute 3 of record 0, but found '2021/06/20 00:00'
2021-09-09 18:58:23.427,acme.testing.manager.workPlan.ManagerWorkPlanDeleteTest,createNegative,340,"[1] url=/manager/work-plan/show, query=id=47",OK
2021-09-09 18:59:11.676,acme.testing.manager.workPlan.ManagerWorkPlanCreateTest,createPositive,38563,"[1] recordIndex=9, title=pruebaplan de trabajo, description=descripción de plan de prueba, executionStart=2022/10/01 08:00, executionEnd=2022/10/10 23:00, isPublic=true, selectTask=34, titleTask=Our first task, executionStartTask=2021/06/20 10:00, executionEndTask=2021/06/30 23:59, recordIndexTask=0",Cannot find option with requested value in select
2021-09-09 18:59:18.364,acme.testing.manager.workPlan.ManagerWorkPlanCreateTest,createNegative,6368,"[1] title=pruebaplan de trabajo, description=descripción de plan de prueba, executionStart=2022/10/10 23:00, executionEnd=2022/10/01 08:00, isPublic=true",OK
2021-09-09 18:59:24.282,acme.testing.manager.workPlan.ManagerWorkPlanCreateTest,createNegative,5625,"[2] title=null, description=null, executionStart=null, executionEnd=null, isPublic=true",OK
2021-09-09 18:59:30.381,acme.testing.manager.workPlan.ManagerWorkPlanCreateTest,createNegative,5792,"[3] title=sex, description=descripción de plan de prueba, executionStart=2022/10/10 23:00, executionEnd=2022/10/01 08:00, isPublic=true",OK
2021-09-09 18:59:36.528,acme.testing.manager.workPlan.ManagerWorkPlanCreateTest,createNegative,5818,"[4] title=pruebaplan de trabajo, description=sex, executionStart=2022/10/10 23:00, executionEnd=2022/10/01 08:00, isPublic=true",OK
2021-09-09 18:59:50.175,acme.testing.manager.workPlan.ManagerWorkPlanListTest,listAll,4082,"[1] recordIndex=0, title=Plan de trabajo 1, description=descripción de prueba 1, executionStart=2021/01/01 00:00, executionEnd=2021/06/20 00:00, isPublic=true, published=false",Expected value '2021/10/20 00:00' in attribute 3 of record 0, but found '2021/06/20 00:00'
2021-09-09 18:59:50.79,acme.testing.manager.workPlan.ManagerWorkPlanListTest,listAllNegative,305,"[1] url=/manager/work-plan/list-mine",OK
2021-09-09 19:00:04.047,acme.testing.anonymous.workPlan.AnonymousWorkPlanShowDetailsTest,showDetails,3663,"[1] recordIndex=0, executionStart=2021/01/01 00:00, executionEnd=2021/10/01 20:00, title=Plan de trabajo número 4, description=descripción de prueba del work plan número 4, isPublic=true, workload=44.50",OK
2021-09-09 19:00:05.881,acme.testing.anonymous.workPlan.AnonymousWorkPlanShowDetailsTest,showDetails,1540,"[2] recordIndex=1, executionStart=2021/01/31 12:00, executionEnd=2021/09/01 08:00, title=Plan de trabajo 2, description=descripción de prueba 2, isPublic=true, workload=0.00",Expected value '2022/01/01 08:00' in attribute 2 of record 1, but found '2021/09/01 08:00'
2021-09-09 19:00:06.507,acme.testing.anonymous.workPlan.AnonymousWorkPlanShowDetailsTest,showWorkPlanDetailNegative,342,"[1] url=/manager/work-plan/show, query=id=47",OK
2021-09-09 19:00:19.788,acme.testing.anonymous.workPlan.AnonymousWorkPlanListTest,listAll,3725,"[1] recordIndex=0, executionStart=2021/01/01 00:00, executionEnd=2021/10/01 20:00, title=Plan de trabajo número 4, description=descripción de prueba del work plan número 4, isPublic=true, workload=44.50",OK
2021-09-09 19:00:21.583,acme.testing.anonymous.workPlan.AnonymousWorkPlanListTest,listAll,1517,"[2] recordIndex=1, executionStart=2021/01/31 12:00, executionEnd=2021/09/01 08:00, title=Plan de trabajo 2, description=descripción de prueba 2, isPublic=true, workload=0.00",Expected value '2022/01/01 08:00' in attribute 2 of record 1, but found '2021/09/01 08:00'
2021-09-09 19:00:22.245,acme.testing.anonymous.workPlan.AnonymousWorkPlanListTest,listAllNegative,342,"[1] url=/manager/work-plan/list-mine",OK
2021-09-09 19:00:35.207,acme.testing.administrator.dashboard.AdministratorDashboardTest,show,3458,"[1] totalNumberOfPublicTasks=12.00, totalNumberOfPrivateTasks=1.00, totalNumberOfFinishedTasks=4.00, totalNumberOfUnfinishedTasks=9.00, averageNumberOfTasksExecutionPeriod=50.46, deviationNumberOfTasksExecutionPeriod=36.27, minimumTaskExecutionPeriod=1.00, maximumTaskExecutionPeriod=115.00, averageNumberOfTasksWorkload=9.99, deviationNumberOfTasksWorkload=11.74, minimumTasksWorkload=0.00, maximumTasksWorkload=44.50, totalNumberOfPublicWorkPlans=8.00, totalNumberOfPrivateWorkPlans=1.00, totalNumberOfFinishedWorkPlans=0.00, totalNumberOfNonFinishedWorkPlans=9.00, averageNumberOfWorkPlansExecutionPeriod=236.44, deviationSumOfWorkPlansExecutionPeriod=34.58, minimumWorkPlansExecutionPeriod=170.00, maximumWorkPlansExecutionPeriod=274.00, averageNumberOfWorkPlansWorkloads=17.27, deviationNumberOfWorkPlansWorkloads=16.86, minimumWorkPlanWorkload=0.00, maximumWorkPlanWorkload=44.50",Expected value '2.00' in attribute 0 of record 2, but found '4.00'
2021-09-09 19:00:39.565,acme.testing.administrator.dashboard.AdministratorDashboardTest,testAllNegative,4054,"testAllNegative()",OK
2021-09-09 19:00:52.497,acme.testing.authenticated.task.AuthenticatedTaskListTest,listAll,3402,"[1] recordIndex=0, executionStart=2021/01/07 10:30, executionEnd=2021/05/02 19:00, title=Public and finished task 6, isPublic=true, workload=20.00, link=http://www.example.org, description=The task description with some text",Expected value '2021/01/11 11:30' in attribute 0 of record 0, but found '2021/01/07 10:30'
2021-09-09 19:00:56.214,acme.testing.authenticated.task.AuthenticatedTaskListTest,listAll,3385,"[2] recordIndex=1, executionStart=2021/01/11 11:30, executionEnd=2021/03/01 15:00, title=Public and finished task 4, isPublic=true, workload=10.50, link=http://www.example.org, description=The task description with some text",Expected value '2021/04/02 11:30' in attribute 0 of record 1, but found '2021/01/11 11:30'
2021-09-09 19:00:56.836,acme.testing.authenticated.task.AuthenticatedTaskListTest,listAllNegative,328,"[1] url=/authenticated/task/list",OK
2021-09-09 19:00:57.429,acme.testing.authenticated.task.AuthenticatedTaskListTest,showNegative,312,"[1] url=/authenticated/task/show, query=id=33",OK
2021-09-09 19:01:14.97,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8014,"[1] recordIndex=13, description=crear task de prueba en test, executionEnd=2022/01/01 00:01, executionStart=2022/01/01 00:00, isPublic=true, link=null, title=task de test 1, workload=0.00",OK
2021-09-09 19:01:23.271,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8006,"[2] recordIndex=14, description=crear task de prueba en test, executionEnd=2022/01/01 00:01, executionStart=2022/01/01 00:00, isPublic=true, link=null, title=task de test 2, workload=0.01",OK
2021-09-09 19:01:31.658,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8028,"[3] recordIndex=15, description=crear task de prueba en test, executionEnd=2022/01/01 00:59, executionStart=2022/01/01 00:00, isPublic=true, link=http://prueba.com, title=task de test 3, workload=0.59",OK
2021-09-09 19:01:39.851,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7908,"[4] recordIndex=16, description=crear task de prueba en test, executionEnd=2022/01/01 01:00, executionStart=2022/01/01 00:00, isPublic=true, link=http://prueba.com, title=task de test 4, workload=1.00",OK
2021-09-09 19:01:48.043,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7908,"[5] recordIndex=17, description=crear task de prueba en test, executionEnd=2022/01/01 01:00, executionStart=2022/01/01 00:00, isPublic=true, link=http://prueba.com, title=task de test 5, workload=0.59",OK
2021-09-09 19:01:56.295,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7958,"[6] recordIndex=18, description=crear task de prueba en test, executionEnd=2022/01/01 10:00, executionStart=2022/01/01 00:00, isPublic=true, link=http://prueba.com, title=task de test 6, workload=9.59",OK
